stock beta_ssm
0 100.0001
0 100.0215
0 100.1079
0 100.3115
0 100.6974
0 101.355
0 102.4202
0 104.1142
0 106.815
0 111.1882
0 118.414
0 130.5108
0 150.4701
0 180.9963
1 100.0001
1 100.0215
1 100.1079
1 100.3115
1 100.6974
1 101.355
1 102.4202
1 104.1142
1 106.815
1 111.1882
1 118.414
1 130.5108
1 150.4701
1 180.9963
2 100.0001
2 100.0215
2 100.1079
2 100.3115
2 100.6974
2 101.355
2 102.4202
2 104.1142
2 106.815
2 111.1882
2 118.414
2 130.5108
2 150.4701
2 180.9963
3 100.0001
3 100.0215
3 100.1079
3 100.3115
3 100.6974
3 101.355
3 102.4202
3 104.1142
3 106.815
3 111.1882
3 118.414
3 130.5108
3 150.4701
3 180.9963
4 100.0001
4 100.0215
4 100.1079
4 100.3115
4 100.6974
4 101.355
4 102.4202
4 104.1142
4 106.815
4 111.1882
4 118.414
4 130.5108
4 150.4701
4 180.9963
5 100.0001
5 100.0215
5 100.1079
5 100.3115
5 100.6974
5 101.355
5 102.4202
5 104.1142
5 106.815
5 111.1882
5 118.414
5 130.5108
5 150.4701
5 180.9963
6 100.0001
6 100.0215
6 100.1079
6 100.3115
6 100.6974
6 101.355
6 102.4202
6 104.1142
6 106.815
6 111.1882
6 118.414
6 130.5108
6 150.4701
6 180.9963
7 100.0001
7 100.0215
7 100.1079
7 100.3115
7 100.6974
7 101.355
7 102.4202
7 104.1142
7 106.815
7 111.1882
7 118.414
7 130.5108
7 150.4701
7 180.9963
8 100.0001
8 100.0215
8 100.1079
8 100.3115
8 100.6974
8 101.355
8 102.4202
8 104.1142
8 106.815
8 111.1882
8 118.414
8 130.5108
8 150.4701
8 180.9963
9 100.0001
9 100.0215
9 100.1079
9 100.3115
9 100.6974
9 101.355
9 102.4202
9 104.1142
9 106.815
9 111.1882
9 118.414
9 130.5108
9 150.4701
9 180.9963
10 100.0001
10 100.0215
10 100.1079
10 100.3115
10 100.6974
10 101.355
10 102.4202
10 104.1142
10 106.815
10 111.1882
10 118.414
10 130.5108
10 150.4701
10 180.9963
11 100.0001
11 100.0215
11 100.1079
11 100.3115
11 100.6974
11 101.355
11 102.4202
11 104.1142
11 106.815
11 111.1882
11 118.414
11 130.5108
11 150.4701
11 180.9963
12 100.0001
12 100.0215
12 100.1079
12 100.3115
12 100.6974
12 101.355
12 102.4202
12 104.1142
12 106.815
12 111.1882
12 118.414
12 130.5108
12 150.4701
12 180.9963
13 100.0001
13 100.0215
13 100.1079
13 100.3115
13 100.6974
13 101.355
13 102.4202
13 104.1142
13 106.815
13 111.1882
13 118.414
13 130.5108
13 150.4701
13 180.9963
14 100.0001
14 100.0215
14 100.1079
14 100.3115
14 100.6974
14 101.355
14 102.4202
14 104.1142
14 106.815
14 111.1882
14 118.414
14 130.5108
14 150.4701
14 180.9963
15 100.0001
15 100.0215
15 100.1079
